tree_n_15_t_1_r_3,8,0,1,6,1,0,0,1,4.15,4.51,6.24,5.69
tree_n_31_t_1_r_3,27,6,11,21,2,1,1,3,9.79,10.09,10.36,9.57
tree_n_63_t_1_r_3,192,76,88,156,7,127,5,16,23.51,24.51,25.91,25.38
tree_n_15_t_2_r_3,25,4,12,21,2,1,1,2,10.64,11.92,12.70,12.11
