tree_n_15_t_1_r_3,16,2,8,15,1,1,1,1,2.05,2.47,2.19,3.25
tree_n_31_t_1_r_3,52,17,30,47,3,1,1,3,4.37,5.18,5.74,5.77
tree_n_63_t_1_r_3,122,46,74,112,7,1,2,6,12.64,14.06,14.44,14.64
tree_n_15_t_2_r_3,47,14,26,41,3,1,1,3,5.21,5.78,6.89,6.06
tree_n_31_t_2_r_3,127,42,69,110,7,1,2,5,13.12,15.18,14.34,15.38
tree_n_15_t_3_r_3,79,30,46,73,4,1,2,4,10.50,13.19,13.77,11.27
tree_n_15_t_4_r_3,110,38,63,96,5,1,2,5,14.49,15.38,14.95,16.28
K4N4,65,26,37,59,4,1,2,3,4.86,5.54,5.64,5.71
K4N5,89,33,52,79,3,1,2,4,8.65,8.60,8.75,9.51
K4N6,116,43,64,102,6,2,2,5,8.49,8.83,9.58,9.14
K4N7,139,55,77,121,4,1,2,5,11.19,10.91,11.30,11.58
K4N8,150,54,79,124,4,2,2,5,13.71,14.51,14.59,15.31
K5N4,86,31,50,77,4,1,2,4,8.65,9.13,8.19,8.59
K6N4,118,46,69,106,5,2,3,4,9.23,8.99,9.46,10.05
K7N4,156,60,89,127,4,2,3,5,11.08,11.47,11.43,11.88
K8N4,174,65,94,150,6,2,3,5,15.18,15.01,14.36,15.57
